no   Ns  j   prob
10   1   0   0.009423395628405329
15   1   0   0.013215479737744396
20   1   0   0.01607060259816706
25   1   0   0.01787321627352978
30   1   0   0.01861731686294088
35   1   0   0.01839461475217541
40   1   0   0.01737090694629373
45   1   0   0.01575597258510264
50   1   0   0.013772672058950164
55   1   0   0.011630112528470793
60   1   0   0.009504125400744856
65   1   0   0.007526381922270398
70   1   0   0.005781719672668939
75   1   0   0.004311992876825044
80   1   0   0.0031241310318831372
85   1   0   0.002200054856918654
90   1   0   0.0015064970334045524
95   1   0   0.0010033999538477945
100  1   0   0.0006502207553944483
105  1   0   0.000410027207558894
110  1   0   0.00025164696208324067
115  1   0   0.00015032833120154354
120  1   0   8.741507684639771e-05
125  1   0   4.948114061176234e-05
130  1   0   2.726461208879538e-05
135  1   0   1.4623521750412039e-05
140  1   0   7.634384667332128e-06
145  1   0   3.879114596427868e-06
150  1   0   1.918167335857035e-06
155  1   0   9.229689217349346e-07
160  1   0   4.320949128500118e-07
165  1   0   1.9678935647693407e-07
170  1   0   8.717422306236955e-08
175  1   0   3.755498312330019e-08
180  1   0   1.5731310032407464e-08
185  1   0   6.406211006115825e-09
190  1   0   2.535680110327121e-09
195  1   0   9.753479135454768e-10
200  1   0   3.6450975571256095e-10
10   1   1   -0.0010532775937430738
15   1   1   -0.0009587848755980843
20   1   1   -0.0008010757299810045
25   1   1   -0.000623758957121634
30   1   1   -0.00044895041200132546
35   1   1   -0.00029062403451440844
40   1   1   -0.0001574505524117864
45   1   1   -5.3616630955710676e-05
50   1   1   2.0516696997874284e-05
55   1   1   6.754622459936854e-05
60   1   1   9.199698931627864e-05
65   1   1   9.928943186721106e-05
70   1   1   9.485542798004509e-05
75   1   1   8.35003335403206e-05
80   1   1   6.904120737138975e-05
85   1   1   5.419455025412745e-05
90   1   1   4.065127033292537e-05
95   1   1   2.926402943170814e-05
100  1   1   2.0278169862608664e-05
105  1   1   1.355459259289038e-05
110  1   1   8.753731115307417e-06
115  1   1   5.468481571013761e-06
120  1   1   3.307532869367691e-06
125  1   1   1.9382649816268582e-06
130  1   1   1.101117154123088e-06
135  1   1   6.066698263751391e-07
140  1   1   3.2427614626850954e-07
145  1   1   1.682026422589189e-07
150  1   1   8.468169832021033e-08
155  1   1   4.1385278981564966e-08
160  1   1   1.9635545411844646e-08
165  1   1   9.044931359447617e-09
170  1   1   4.045229373694781e-09
175  1   1   1.7565252585782787e-09
180  1   1   7.405013269234928e-10
185  1   1   3.0306512854849643e-10
190  1   1   1.2040746177888195e-10
195  1   1   4.64344118711324e-11
200  1   1   1.7380430428204363e-11
10   1   2   -0.0011156254855893
15   1   2   -0.0010781700434034924
20   1   2   -0.0009839083045555252
25   1   2   -0.000868104991373464
30   1   2   -0.0007453707070286253
35   1   2   -0.000624089656261706
40   1   2   -0.000509883376380138
45   1   2   -0.00040653758549313856
50   1   2   -0.00031631074902160883
55   1   2   -0.0002401379280214666
60   1   2   -0.00017786252438178884
65   1   2   -0.00012850777899231502
70   1   2   -9.056155461384385e-05
75   1   2   -6.224155634271256e-05
80   1   2   -4.1715352451898724e-05
85   1   2   -2.726155262777752e-05
90   1   2   -1.7370309526754113e-05
95   1   2   -1.0790263366811104e-05
100  1   2   -6.534174452399455e-06
105  1   2   -3.857013398222975e-06
110  1   2   -2.2191221582534837e-06
115  1   2   -1.2443675945217336e-06
120  1   2   -6.800186791444673e-07
125  1   2   -3.6212957899017795e-07
130  1   2   -1.8790713540717263e-07
135  1   2   -9.49996989962898e-08
140  1   2   -4.6791035268611836e-08
145  1   2   -2.245041175186202e-08
150  1   2   -1.049215492265887e-08
155  1   2   -4.775719597560624e-09
160  1   2   -2.1168931052528706e-09
165  1   2   -9.136831291556291e-10
170  1   2   -3.8394998291835236e-10
175  1   2   -1.570650276505603e-10
180  1   2   -6.253930706634492e-11
185  1   2   -2.4233504092308067e-11
190  1   2   -9.136913448060113e-12
195  1   2   -3.3513192221334975e-12
200  1   2   -1.1952661083114435e-12
10   10  0   0.09075335304490362
15   10  0   0.1252066935146504
20   10  0   0.15055996265479366
25   10  0   0.16667208260030608
30   10  0   0.17416504943552458
35   10  0   0.1741820412412166
40   10  0   0.16814990159579457
45   10  0   0.15757889690318216
50   10  0   0.14391485552125083
55   10  0   0.1284445742408148
60   10  0   0.1122465848026255
65   10  0   0.0961757600486991
70   10  0   0.08087036376193135
75   10  0   0.06677227264768848
80   10  0   0.05415379077558824
85   10  0   0.043146854292346326
90   10  0   0.033772130822054325
95   10  0   0.02596655961459482
100  10  0   0.019608437281327107
105  10  0   0.01453944468691093
110  10  0   0.010583200533954895
115  10  0   0.0075601103163425165
120  10  0   0.005298484664227443
125  10  0   0.003642116006302931
130  10  0   0.0024546969425830456
135  10  0   0.0016216088484943825
140  10  0   0.0010496875731105249
145  10  0   0.0006655818140751668
150  10  0   0.000413268683619461
155  10  0   0.00025119800273765147
160  10  0   0.00014942263586359417
165  10  0   8.695569221639499e-05
170  10  0   4.9491083663588675e-05
175  10  0   2.7540394730962703e-05
180  10  0   1.4979437936157858e-05
185  10  0   7.961077878815281e-06
190  10  0   4.133033470243852e-06
195  10  0   2.0953527728462262e-06
200  10  0   1.0370692231642664e-06
10   10  1   -0.005293398433760421
15   10  1   0.00021563071511421228
20   10  1   0.006661633811452128
25   10  1   0.01299989720994088
30   10  1   0.018539320429241668
35   10  1   0.02284322334175548
40   10  1   0.02570100625434424
45   10  1   0.027094534340800003
50   10  1   0.02715249303096212
55   10  1   0.026099525135475754
60   10  1   0.024208009375470074
65   10  1   0.021757999022000485
70   10  1   0.019007930768650927
75   10  1   0.016176310318949394
80   10  1   0.013433014670194754
85   10  1   0.010898082619862248
90   10  1   0.008645695739404768
95   10  1   0.006711254226699714
100  10  1   0.005099836604560037
105  10  1   0.0037947699299498705
110  10  1   0.0027654529797663807
115  10  1   0.001973932248702126
120  10  1   0.0013800160529524597
125  10  1   0.0009449242834818072
130  10  1   0.0006336152406085649
135  10  1   0.00041601475093944185
140  10  1   0.00026740685645476603
145  10  1   0.00016824156373651533
150  10  1   0.00010358560978340758
155  10  1   6.239835954591211e-05
160  10  1   3.676646607220224e-05
165  10  1   2.1185029153159007e-05
170  10  1   1.1934250039646876e-05
175  10  1   6.57110007107331e-06
180  10  1   3.5354439965606943e-06
185  10  1   1.8582205977279997e-06
190  10  1   9.53852536844657e-07
195  10  1   4.780552331773436e-07
200  10  1   2.3386710312767178e-07
10   10  2   -0.011008085943168266
15   10  2   -0.010292915544906966
20   10  2   -0.008854881383584257
25   10  2   -0.007094479261239295
30   10  2   -0.005225557452906093
35   10  2   -0.0034049835890910263
40   10  2   -0.0017535329637605734
45   10  2   -0.00035550469945166974
50   10  2   0.0007426293880513635
55   10  2   0.0015298079548542454
60   10  2   0.002024177332288213
65   10  2   0.0022646092036507914
70   10  2   0.002301692059287763
75   10  2   0.002189618484786715
80   10  2   0.0019798465267303333
85   10  2   0.0017168730749332894
90   10  2   0.0014360344196574504
95   10  2   0.001162983020192243
100  10  2   0.0009143705846096362
105  10  2   0.0006992615434585625
110  10  2   0.0005208667614662321
115  10  2   0.00037828779529924805
120  10  2   0.00026806914550692174
125  10  2   0.00018545172776407437
130  10  2   0.00012529588573562123
135  10  2   8.26939578546515e-05
140  10  2   5.332233549260046e-05
145  10  2   3.3595193546842594e-05
150  10  2   2.0681656769050427e-05
155  10  2   1.2439984465761889e-05
